,Attack,Defense,Generation,HP,Sp. Atk,Sp. Def,Speed,Total,label
396,80.0,80.0,3.0,80.0,80.0,80.0,80.0,480.0,0.0
397,120.0,80.0,3.0,80.0,120.0,80.0,100.0,580.0,0.0
398,40.0,50.0,3.0,70.0,55.0,50.0,25.0,290.0,0.0
399,60.0,70.0,3.0,90.0,75.0,70.0,45.0,410.0,0.0
400,80.0,90.0,3.0,110.0,95.0,90.0,65.0,530.0,0.0
401,64.0,85.0,3.0,35.0,74.0,55.0,32.0,345.0,0.0
402,104.0,105.0,3.0,55.0,94.0,75.0,52.0,485.0,0.0
403,84.0,105.0,3.0,55.0,114.0,75.0,52.0,485.0,0.0
404,90.0,130.0,3.0,100.0,45.0,65.0,55.0,485.0,0.0
405,30.0,55.0,3.0,43.0,40.0,65.0,97.0,330.0,0.0
406,75.0,60.0,3.0,45.0,40.0,30.0,50.0,300.0,0.0
407,95.0,100.0,3.0,65.0,60.0,50.0,50.0,420.0,0.0
408,135.0,80.0,3.0,95.0,110.0,80.0,100.0,600.0,0.0
410,55.0,80.0,3.0,40.0,35.0,60.0,30.0,300.0,0.0
411,75.0,100.0,3.0,60.0,55.0,80.0,50.0,420.0,0.0
412,135.0,130.0,3.0,80.0,95.0,90.0,70.0,600.0,0.0
414,100.0,200.0,3.0,80.0,50.0,100.0,50.0,580.0,1.0
415,50.0,100.0,3.0,80.0,100.0,200.0,50.0,580.0,1.0
416,75.0,150.0,3.0,80.0,75.0,150.0,50.0,580.0,1.0
417,80.0,90.0,3.0,80.0,110.0,130.0,110.0,600.0,1.0
419,90.0,80.0,3.0,80.0,130.0,110.0,110.0,600.0,1.0
421,100.0,90.0,3.0,100.0,150.0,140.0,90.0,670.0,1.0
427,100.0,100.0,3.0,100.0,100.0,100.0,100.0,600.0,1.0
430,70.0,160.0,3.0,50.0,70.0,160.0,90.0,600.0,1.0
431,95.0,90.0,3.0,50.0,95.0,90.0,180.0,600.0,1.0
432,68.0,64.0,4.0,55.0,45.0,55.0,31.0,318.0,0.0
433,89.0,85.0,4.0,75.0,55.0,65.0,36.0,405.0,0.0
434,109.0,105.0,4.0,95.0,75.0,85.0,56.0,525.0,0.0
435,58.0,44.0,4.0,44.0,58.0,44.0,61.0,309.0,0.0
436,78.0,52.0,4.0,64.0,78.0,52.0,81.0,405.0,0.0
437,104.0,71.0,4.0,76.0,104.0,71.0,108.0,534.0,0.0
438,51.0,53.0,4.0,53.0,61.0,56.0,40.0,314.0,0.0
439,66.0,68.0,4.0,64.0,81.0,76.0,50.0,405.0,0.0
440,86.0,88.0,4.0,84.0,111.0,101.0,60.0,530.0,0.0
441,55.0,30.0,4.0,40.0,30.0,30.0,60.0,245.0,0.0
442,75.0,50.0,4.0,55.0,40.0,40.0,80.0,340.0,0.0
443,120.0,70.0,4.0,85.0,50.0,60.0,100.0,485.0,0.0
444,45.0,40.0,4.0,59.0,35.0,40.0,31.0,250.0,0.0
445,85.0,60.0,4.0,79.0,55.0,60.0,71.0,410.0,0.0
446,25.0,41.0,4.0,37.0,25.0,41.0,25.0,194.0,0.0
447,85.0,51.0,4.0,77.0,55.0,51.0,65.0,384.0,0.0
448,65.0,34.0,4.0,45.0,40.0,34.0,45.0,263.0,0.0
449,85.0,49.0,4.0,60.0,60.0,49.0,60.0,363.0,0.0
450,120.0,79.0,4.0,80.0,95.0,79.0,70.0,523.0,0.0
451,30.0,35.0,4.0,40.0,50.0,70.0,55.0,280.0,0.0
452,70.0,65.0,4.0,60.0,125.0,105.0,90.0,515.0,0.0
453,125.0,40.0,4.0,67.0,30.0,30.0,58.0,350.0,0.0
454,165.0,60.0,4.0,97.0,65.0,50.0,58.0,495.0,0.0
455,42.0,118.0,4.0,30.0,42.0,88.0,30.0,350.0,0.0
456,52.0,168.0,4.0,60.0,47.0,138.0,30.0,495.0,0.0
457,29.0,45.0,4.0,40.0,29.0,45.0,36.0,224.0,0.0
458,59.0,85.0,4.0,60.0,79.0,105.0,36.0,424.0,0.0
459,79.0,105.0,4.0,60.0,59.0,85.0,36.0,424.0,0.0
460,69.0,95.0,4.0,60.0,69.0,95.0,36.0,424.0,0.0
461,94.0,50.0,4.0,70.0,94.0,50.0,66.0,424.0,0.0
462,30.0,42.0,4.0,30.0,30.0,42.0,70.0,244.0,0.0
463,80.0,102.0,4.0,70.0,80.0,102.0,40.0,474.0,0.0
464,45.0,70.0,4.0,60.0,45.0,90.0,95.0,405.0,0.0
465,65.0,35.0,4.0,55.0,60.0,30.0,85.0,330.0,0.0
466,105.0,55.0,4.0,85.0,85.0,50.0,115.0,495.0,0.0
467,35.0,45.0,4.0,45.0,62.0,53.0,35.0,275.0,0.0
468,60.0,70.0,4.0,70.0,87.0,78.0,85.0,450.0,0.0
469,48.0,48.0,4.0,76.0,57.0,62.0,34.0,325.0,0.0
470,83.0,68.0,4.0,111.0,92.0,82.0,39.0,475.0,0.0
471,100.0,66.0,4.0,75.0,60.0,66.0,115.0,482.0,0.0
472,50.0,34.0,4.0,90.0,60.0,44.0,70.0,348.0,0.0
473,80.0,44.0,4.0,150.0,90.0,54.0,80.0,498.0,0.0
474,66.0,44.0,4.0,55.0,44.0,56.0,85.0,350.0,0.0
475,76.0,84.0,4.0,65.0,54.0,96.0,105.0,480.0,0.0
476,136.0,94.0,4.0,65.0,54.0,96.0,135.0,580.0,0.0
477,60.0,60.0,4.0,60.0,105.0,105.0,105.0,495.0,0.0
478,125.0,52.0,4.0,100.0,105.0,52.0,71.0,505.0,0.0
479,55.0,42.0,4.0,49.0,42.0,37.0,85.0,310.0,0.0
480,82.0,64.0,4.0,71.0,64.0,59.0,112.0,452.0,0.0
481,30.0,50.0,4.0,45.0,65.0,50.0,45.0,285.0,0.0
482,63.0,47.0,4.0,63.0,41.0,41.0,74.0,329.0,0.0
483,93.0,67.0,4.0,103.0,71.0,61.0,84.0,479.0,0.0
484,24.0,86.0,4.0,57.0,24.0,86.0,23.0,300.0,0.0
485,89.0,116.0,4.0,67.0,79.0,116.0,33.0,500.0,0.0
486,80.0,95.0,4.0,50.0,10.0,45.0,10.0,290.0,0.0
487,25.0,45.0,4.0,20.0,70.0,90.0,60.0,310.0,0.0
488,5.0,5.0,4.0,100.0,15.0,65.0,30.0,220.0,0.0
489,65.0,45.0,4.0,76.0,92.0,42.0,91.0,411.0,0.0
490,92.0,108.0,4.0,50.0,92.0,108.0,35.0,485.0,0.0
491,70.0,45.0,4.0,58.0,40.0,45.0,42.0,300.0,0.0
492,90.0,65.0,4.0,68.0,50.0,55.0,82.0,410.0,0.0
493,130.0,95.0,4.0,108.0,80.0,85.0,102.0,600.0,0.0
495,85.0,40.0,4.0,135.0,40.0,85.0,5.0,390.0,0.0
496,70.0,40.0,4.0,40.0,35.0,40.0,60.0,285.0,0.0
497,110.0,70.0,4.0,70.0,115.0,70.0,90.0,525.0,0.0
498,145.0,88.0,4.0,70.0,140.0,70.0,112.0,625.0,0.0
499,72.0,78.0,4.0,68.0,38.0,42.0,32.0,330.0,0.0
500,112.0,118.0,4.0,108.0,68.0,72.0,47.0,525.0,0.0
501,50.0,90.0,4.0,40.0,30.0,55.0,65.0,330.0,0.0
502,90.0,110.0,4.0,70.0,60.0,75.0,95.0,500.0,0.0
503,61.0,40.0,4.0,48.0,61.0,40.0,50.0,300.0,0.0
504,106.0,65.0,4.0,83.0,86.0,65.0,85.0,490.0,0.0
505,100.0,72.0,4.0,74.0,90.0,72.0,46.0,454.0,0.0
506,49.0,56.0,4.0,49.0,49.0,61.0,66.0,330.0,0.0
507,69.0,76.0,4.0,69.0,69.0,86.0,91.0,460.0,0.0
508,20.0,50.0,4.0,45.0,60.0,120.0,50.0,345.0,0.0
509,62.0,50.0,4.0,60.0,62.0,60.0,40.0,334.0,0.0
510,92.0,75.0,4.0,90.0,92.0,85.0,60.0,494.0,0.0
511,132.0,105.0,4.0,90.0,132.0,105.0,30.0,594.0,0.0
512,120.0,65.0,4.0,70.0,45.0,85.0,125.0,510.0,0.0
513,70.0,115.0,4.0,70.0,130.0,90.0,60.0,535.0,0.0
514,85.0,95.0,4.0,110.0,80.0,95.0,50.0,515.0,0.0
515,140.0,130.0,4.0,115.0,55.0,55.0,40.0,535.0,0.0
516,100.0,125.0,4.0,100.0,110.0,50.0,50.0,535.0,0.0
517,123.0,67.0,4.0,75.0,95.0,85.0,95.0,540.0,0.0
518,95.0,67.0,4.0,75.0,125.0,95.0,83.0,540.0,0.0
519,50.0,95.0,4.0,85.0,120.0,115.0,80.0,545.0,0.0
520,76.0,86.0,4.0,86.0,116.0,56.0,95.0,515.0,0.0
521,110.0,130.0,4.0,65.0,60.0,65.0,95.0,525.0,0.0
522,60.0,110.0,4.0,65.0,130.0,95.0,65.0,525.0,0.0
523,95.0,125.0,4.0,75.0,45.0,75.0,95.0,510.0,0.0
524,130.0,80.0,4.0,110.0,70.0,60.0,80.0,530.0,0.0
525,80.0,70.0,4.0,85.0,135.0,75.0,90.0,535.0,0.0
526,125.0,65.0,4.0,68.0,65.0,115.0,80.0,518.0,0.0
527,165.0,95.0,4.0,68.0,65.0,115.0,110.0,618.0,0.0
528,55.0,145.0,4.0,60.0,75.0,150.0,40.0,525.0,0.0
529,100.0,135.0,4.0,45.0,65.0,135.0,45.0,525.0,0.0
530,80.0,70.0,4.0,70.0,80.0,70.0,110.0,480.0,0.0
531,50.0,77.0,4.0,50.0,95.0,77.0,91.0,440.0,0.0
532,65.0,107.0,4.0,50.0,105.0,107.0,86.0,520.0,0.0
533,65.0,107.0,4.0,50.0,105.0,107.0,86.0,520.0,0.0
534,65.0,107.0,4.0,50.0,105.0,107.0,86.0,520.0,0.0
535,65.0,107.0,4.0,50.0,105.0,107.0,86.0,520.0,0.0
536,65.0,107.0,4.0,50.0,105.0,107.0,86.0,520.0,0.0
537,75.0,130.0,4.0,75.0,75.0,130.0,95.0,580.0,1.0
538,105.0,105.0,4.0,80.0,105.0,105.0,80.0,580.0,1.0
539,125.0,70.0,4.0,75.0,125.0,70.0,115.0,580.0,1.0
540,120.0,120.0,4.0,100.0,150.0,100.0,90.0,680.0,1.0
542,90.0,106.0,4.0,91.0,130.0,106.0,77.0,600.0,1.0
545,120.0,100.0,4.0,150.0,120.0,100.0,90.0,680.0,1.0
546,70.0,120.0,4.0,120.0,75.0,130.0,85.0,600.0,0.0
547,80.0,80.0,4.0,80.0,80.0,80.0,80.0,480.0,0.0
548,100.0,100.0,4.0,100.0,100.0,100.0,100.0,600.0,0.0
549,90.0,90.0,4.0,70.0,135.0,90.0,125.0,600.0,1.0
550,100.0,100.0,4.0,100.0,100.0,100.0,100.0,600.0,1.0
551,103.0,75.0,4.0,100.0,120.0,75.0,127.0,600.0,1.0
553,100.0,100.0,5.0,100.0,100.0,100.0,100.0,600.0,1.0
554,45.0,55.0,5.0,45.0,45.0,55.0,63.0,308.0,0.0
555,60.0,75.0,5.0,60.0,60.0,75.0,83.0,413.0,0.0
556,75.0,95.0,5.0,75.0,75.0,95.0,113.0,528.0,0.0
557,63.0,45.0,5.0,65.0,45.0,45.0,45.0,308.0,0.0
558,93.0,55.0,5.0,90.0,70.0,55.0,55.0,418.0,0.0
559,123.0,65.0,5.0,110.0,100.0,65.0,65.0,528.0,0.0
560,55.0,45.0,5.0,55.0,63.0,45.0,45.0,308.0,0.0
561,75.0,60.0,5.0,75.0,83.0,60.0,60.0,413.0,0.0
562,100.0,85.0,5.0,95.0,108.0,70.0,70.0,528.0,0.0
563,55.0,39.0,5.0,45.0,35.0,39.0,42.0,255.0,0.0
564,85.0,69.0,5.0,60.0,60.0,69.0,77.0,420.0,0.0
565,60.0,45.0,5.0,45.0,25.0,45.0,55.0,275.0,0.0
566,80.0,65.0,5.0,65.0,35.0,65.0,60.0,370.0,0.0
567,110.0,90.0,5.0,85.0,45.0,90.0,80.0,500.0,0.0
568,50.0,37.0,5.0,41.0,50.0,37.0,66.0,281.0,0.0
569,88.0,50.0,5.0,64.0,88.0,50.0,106.0,446.0,0.0
570,53.0,48.0,5.0,50.0,53.0,48.0,64.0,316.0,0.0
571,98.0,63.0,5.0,75.0,98.0,63.0,101.0,498.0,0.0
572,53.0,48.0,5.0,50.0,53.0,48.0,64.0,316.0,0.0
573,98.0,63.0,5.0,75.0,98.0,63.0,101.0,498.0,0.0
574,53.0,48.0,5.0,50.0,53.0,48.0,64.0,316.0,0.0
575,98.0,63.0,5.0,75.0,98.0,63.0,101.0,498.0,0.0
576,25.0,45.0,5.0,76.0,67.0,55.0,24.0,292.0,0.0
577,55.0,85.0,5.0,116.0,107.0,95.0,29.0,487.0,0.0
578,55.0,50.0,5.0,50.0,36.0,30.0,43.0,264.0,0.0
579,77.0,62.0,5.0,62.0,50.0,42.0,65.0,358.0,0.0
580,115.0,80.0,5.0,80.0,65.0,55.0,93.0,488.0,0.0
581,60.0,32.0,5.0,45.0,50.0,32.0,76.0,295.0,0.0
582,100.0,63.0,5.0,75.0,80.0,63.0,116.0,497.0,0.0
583,75.0,85.0,5.0,55.0,25.0,25.0,15.0,280.0,0.0
584,105.0,105.0,5.0,70.0,50.0,40.0,20.0,390.0,0.0
585,135.0,130.0,5.0,85.0,60.0,80.0,25.0,515.0,0.0
586,45.0,43.0,5.0,55.0,55.0,43.0,72.0,313.0,0.0
587,57.0,55.0,5.0,67.0,77.0,55.0,114.0,425.0,0.0
588,85.0,40.0,5.0,60.0,30.0,45.0,68.0,328.0,0.0
589,135.0,60.0,5.0,110.0,50.0,65.0,88.0,508.0,0.0
590,60.0,86.0,5.0,103.0,60.0,86.0,50.0,445.0,0.0
591,60.0,126.0,5.0,103.0,80.0,126.0,50.0,545.0,0.0
592,80.0,55.0,5.0,75.0,25.0,35.0,35.0,305.0,0.0
593,105.0,85.0,5.0,85.0,40.0,50.0,40.0,405.0,0.0
594,140.0,95.0,5.0,105.0,55.0,65.0,45.0,505.0,0.0
595,50.0,40.0,5.0,50.0,50.0,40.0,64.0,294.0,0.0
596,65.0,55.0,5.0,75.0,65.0,55.0,69.0,384.0,0.0
597,95.0,75.0,5.0,105.0,85.0,75.0,74.0,509.0,0.0
598,100.0,85.0,5.0,120.0,30.0,85.0,45.0,465.0,0.0
599,125.0,75.0,5.0,75.0,30.0,75.0,85.0,465.0,0.0
600,53.0,70.0,5.0,45.0,40.0,60.0,42.0,310.0,0.0
601,63.0,90.0,5.0,55.0,50.0,80.0,42.0,380.0,0.0
602,103.0,80.0,5.0,75.0,70.0,80.0,92.0,500.0,0.0
603,45.0,59.0,5.0,30.0,30.0,39.0,57.0,260.0,0.0
604,55.0,99.0,5.0,40.0,40.0,79.0,47.0,360.0,0.0
605,100.0,89.0,5.0,60.0,55.0,69.0,112.0,485.0,0.0
606,27.0,60.0,5.0,40.0,37.0,50.0,66.0,280.0,0.0
607,67.0,85.0,5.0,60.0,77.0,75.0,116.0,480.0,0.0
608,35.0,50.0,5.0,45.0,70.0,50.0,30.0,280.0,0.0
609,60.0,75.0,5.0,70.0,110.0,75.0,90.0,480.0,0.0
610,92.0,65.0,5.0,70.0,80.0,55.0,98.0,460.0,0.0
611,72.0,35.0,5.0,50.0,35.0,35.0,65.0,292.0,0.0
612,82.0,45.0,5.0,60.0,45.0,45.0,74.0,351.0,0.0
613,117.0,80.0,5.0,95.0,65.0,70.0,92.0,519.0,0.0
614,90.0,45.0,5.0,70.0,15.0,45.0,50.0,315.0,0.0
615,140.0,55.0,5.0,105.0,30.0,55.0,95.0,480.0,0.0
616,30.0,105.0,5.0,105.0,140.0,105.0,55.0,540.0,0.0
617,86.0,67.0,5.0,75.0,106.0,67.0,60.0,461.0,0.0
618,65.0,85.0,5.0,50.0,35.0,35.0,55.0,325.0,0.0
619,95.0,125.0,5.0,70.0,65.0,75.0,45.0,475.0,0.0
620,75.0,70.0,5.0,50.0,35.0,70.0,48.0,348.0,0.0
621,90.0,115.0,5.0,65.0,45.0,115.0,58.0,488.0,0.0
622,58.0,80.0,5.0,72.0,103.0,80.0,97.0,490.0,0.0
623,30.0,85.0,5.0,38.0,55.0,65.0,30.0,303.0,0.0
624,50.0,145.0,5.0,58.0,95.0,105.0,30.0,483.0,0.0
625,78.0,103.0,5.0,54.0,53.0,45.0,22.0,355.0,0.0
626,108.0,133.0,5.0,74.0,83.0,65.0,32.0,495.0,0.0
627,112.0,45.0,5.0,55.0,74.0,45.0,70.0,401.0,0.0
628,140.0,65.0,5.0,75.0,112.0,65.0,110.0,567.0,0.0
629,50.0,62.0,5.0,50.0,40.0,62.0,65.0,329.0,0.0
630,95.0,82.0,5.0,80.0,60.0,82.0,75.0,474.0,0.0
631,65.0,40.0,5.0,40.0,80.0,40.0,65.0,330.0,0.0
632,105.0,60.0,5.0,60.0,120.0,60.0,105.0,510.0,0.0
633,50.0,40.0,5.0,55.0,40.0,40.0,75.0,300.0,0.0
634,95.0,60.0,5.0,75.0,65.0,60.0,115.0,470.0,0.0
635,30.0,50.0,5.0,45.0,55.0,65.0,45.0,290.0,0.0
636,45.0,70.0,5.0,60.0,75.0,85.0,55.0,390.0,0.0
637,55.0,95.0,5.0,70.0,95.0,110.0,65.0,490.0,0.0
638,30.0,40.0,5.0,45.0,105.0,50.0,20.0,290.0,0.0
639,40.0,50.0,5.0,65.0,125.0,60.0,30.0,370.0,0.0
640,65.0,75.0,5.0,110.0,125.0,85.0,30.0,490.0,0.0
641,44.0,50.0,5.0,62.0,44.0,50.0,55.0,305.0,0.0
642,87.0,63.0,5.0,75.0,87.0,63.0,98.0,473.0,0.0
643,50.0,50.0,5.0,36.0,65.0,60.0,44.0,305.0,0.0
644,65.0,65.0,5.0,51.0,80.0,75.0,59.0,395.0,0.0
645,95.0,85.0,5.0,71.0,110.0,95.0,79.0,535.0,0.0
646,60.0,50.0,5.0,60.0,40.0,50.0,75.0,335.0,0.0
647,100.0,70.0,5.0,80.0,60.0,70.0,95.0,475.0,0.0
648,75.0,60.0,5.0,55.0,75.0,60.0,103.0,428.0,0.0
649,75.0,45.0,5.0,50.0,40.0,45.0,60.0,315.0,0.0
650,135.0,105.0,5.0,70.0,60.0,105.0,20.0,495.0,0.0
651,55.0,45.0,5.0,69.0,55.0,55.0,15.0,294.0,0.0
652,85.0,70.0,5.0,114.0,85.0,80.0,30.0,464.0,0.0
653,40.0,50.0,5.0,55.0,65.0,85.0,40.0,335.0,0.0
654,60.0,70.0,5.0,100.0,85.0,105.0,60.0,480.0,0.0
655,75.0,80.0,5.0,165.0,40.0,45.0,65.0,470.0,0.0
656,47.0,50.0,5.0,50.0,57.0,50.0,65.0,319.0,0.0
657,77.0,60.0,5.0,70.0,97.0,60.0,108.0,472.0,0.0
658,50.0,91.0,5.0,44.0,24.0,86.0,10.0,305.0,0.0
659,94.0,131.0,5.0,74.0,54.0,116.0,20.0,489.0,0.0
660,55.0,70.0,5.0,40.0,45.0,60.0,30.0,300.0,0.0
661,80.0,95.0,5.0,60.0,70.0,85.0,50.0,440.0,0.0
662,100.0,115.0,5.0,60.0,70.0,85.0,90.0,520.0,0.0
663,55.0,40.0,5.0,35.0,45.0,40.0,60.0,275.0,0.0
664,85.0,70.0,5.0,65.0,75.0,70.0,40.0,405.0,0.0
665,115.0,80.0,5.0,85.0,105.0,80.0,50.0,515.0,0.0
666,55.0,55.0,5.0,55.0,85.0,55.0,30.0,335.0,0.0
667,75.0,75.0,5.0,75.0,125.0,95.0,40.0,485.0,0.0
668,30.0,55.0,5.0,50.0,65.0,55.0,20.0,275.0,0.0
669,40.0,60.0,5.0,60.0,95.0,60.0,55.0,370.0,0.0
670,55.0,90.0,5.0,60.0,145.0,90.0,80.0,520.0,0.0
671,87.0,60.0,5.0,46.0,30.0,40.0,57.0,320.0,0.0
672,117.0,70.0,5.0,66.0,40.0,50.0,67.0,410.0,0.0
673,147.0,90.0,5.0,76.0,60.0,70.0,97.0,540.0,0.0
674,70.0,40.0,5.0,55.0,60.0,40.0,40.0,305.0,0.0
675,110.0,80.0,5.0,95.0,70.0,80.0,50.0,485.0,0.0
676,50.0,30.0,5.0,70.0,95.0,135.0,105.0,485.0,0.0
677,40.0,85.0,5.0,50.0,40.0,65.0,25.0,305.0,0.0
678,70.0,40.0,5.0,80.0,100.0,60.0,145.0,495.0,0.0
679,66.0,84.0,5.0,109.0,81.0,99.0,32.0,471.0,0.0
680,85.0,50.0,5.0,45.0,55.0,50.0,65.0,350.0,0.0
681,125.0,60.0,5.0,65.0,95.0,60.0,105.0,510.0,0.0
682,120.0,90.0,5.0,77.0,60.0,90.0,48.0,485.0,0.0
683,74.0,50.0,5.0,59.0,35.0,50.0,35.0,303.0,0.0
684,124.0,80.0,5.0,89.0,55.0,80.0,55.0,483.0,0.0
685,85.0,70.0,5.0,45.0,40.0,40.0,60.0,340.0,0.0
686,125.0,100.0,5.0,65.0,60.0,70.0,70.0,490.0,0.0
687,110.0,95.0,5.0,95.0,40.0,95.0,55.0,490.0,0.0
688,83.0,50.0,5.0,70.0,37.0,50.0,60.0,350.0,0.0
689,123.0,75.0,5.0,100.0,57.0,75.0,80.0,510.0,0.0
690,55.0,75.0,5.0,70.0,45.0,65.0,60.0,370.0,0.0
691,65.0,105.0,5.0,110.0,55.0,95.0,80.0,510.0,0.0
692,97.0,66.0,5.0,85.0,105.0,66.0,65.0,484.0,0.0
693,109.0,112.0,5.0,58.0,48.0,48.0,109.0,484.0,0.0
694,65.0,50.0,5.0,52.0,45.0,50.0,38.0,300.0,0.0
695,85.0,70.0,5.0,72.0,65.0,70.0,58.0,420.0,0.0
696,105.0,90.0,5.0,92.0,125.0,90.0,98.0,600.0,0.0
697,85.0,55.0,5.0,55.0,50.0,55.0,60.0,360.0,0.0
698,60.0,65.0,5.0,85.0,135.0,105.0,100.0,550.0,0.0
699,90.0,129.0,5.0,91.0,90.0,72.0,108.0,580.0,1.0
700,129.0,90.0,5.0,91.0,72.0,90.0,108.0,580.0,1.0
701,90.0,72.0,5.0,91.0,90.0,129.0,108.0,580.0,1.0
702,115.0,70.0,5.0,79.0,125.0,80.0,111.0,580.0,1.0
703,100.0,80.0,5.0,79.0,110.0,90.0,121.0,580.0,1.0
704,115.0,70.0,5.0,79.0,125.0,80.0,111.0,580.0,1.0
705,105.0,70.0,5.0,79.0,145.0,80.0,101.0,580.0,1.0
707,150.0,120.0,5.0,100.0,120.0,100.0,90.0,680.0,1.0
708,125.0,90.0,5.0,89.0,115.0,80.0,101.0,600.0,1.0
709,145.0,90.0,5.0,89.0,105.0,80.0,91.0,600.0,1.0
710,130.0,90.0,5.0,125.0,130.0,90.0,95.0,660.0,1.0
713,72.0,90.0,5.0,91.0,129.0,90.0,108.0,580.0,0.0
714,72.0,90.0,5.0,91.0,129.0,90.0,108.0,580.0,0.0
715,77.0,77.0,5.0,100.0,128.0,128.0,90.0,600.0,0.0
716,128.0,90.0,5.0,100.0,77.0,77.0,128.0,600.0,0.0
717,120.0,95.0,5.0,71.0,120.0,95.0,99.0,600.0,0.0
718,61.0,65.0,6.0,56.0,48.0,45.0,38.0,313.0,0.0
719,78.0,95.0,6.0,61.0,56.0,58.0,57.0,405.0,0.0
720,107.0,122.0,6.0,88.0,74.0,75.0,64.0,530.0,0.0
721,45.0,40.0,6.0,40.0,62.0,60.0,60.0,307.0,0.0
722,59.0,58.0,6.0,59.0,90.0,70.0,73.0,409.0,0.0
723,69.0,72.0,6.0,75.0,114.0,100.0,104.0,534.0,0.0
724,56.0,40.0,6.0,41.0,62.0,44.0,71.0,314.0,0.0
725,63.0,52.0,6.0,54.0,83.0,56.0,97.0,405.0,0.0
726,95.0,67.0,6.0,72.0,103.0,71.0,122.0,530.0,0.0
727,36.0,38.0,6.0,38.0,32.0,36.0,57.0,237.0,0.0
728,56.0,77.0,6.0,85.0,50.0,77.0,78.0,423.0,0.0
729,50.0,43.0,6.0,45.0,40.0,38.0,62.0,278.0,0.0
730,73.0,55.0,6.0,62.0,56.0,52.0,84.0,382.0,0.0
731,81.0,71.0,6.0,78.0,74.0,69.0,126.0,499.0,0.0
732,35.0,40.0,6.0,38.0,27.0,25.0,35.0,200.0,0.0
733,22.0,60.0,6.0,45.0,27.0,30.0,29.0,213.0,0.0
734,52.0,50.0,6.0,80.0,90.0,50.0,89.0,411.0,0.0
735,50.0,58.0,6.0,62.0,73.0,54.0,72.0,369.0,0.0
736,68.0,72.0,6.0,86.0,109.0,66.0,106.0,507.0,0.0
737,38.0,39.0,6.0,44.0,61.0,79.0,42.0,303.0,0.0
738,45.0,47.0,6.0,54.0,75.0,98.0,52.0,371.0,0.0
739,65.0,68.0,6.0,78.0,112.0,154.0,75.0,552.0,0.0
740,65.0,48.0,6.0,66.0,62.0,57.0,52.0,350.0,0.0
741,100.0,62.0,6.0,123.0,97.0,81.0,68.0,531.0,0.0
742,82.0,62.0,6.0,67.0,46.0,48.0,43.0,348.0,0.0
743,124.0,78.0,6.0,95.0,69.0,71.0,58.0,495.0,0.0
744,80.0,60.0,6.0,75.0,65.0,90.0,102.0,472.0,0.0
745,48.0,54.0,6.0,62.0,63.0,60.0,68.0,355.0,0.0
746,48.0,76.0,6.0,74.0,83.0,81.0,104.0,466.0,0.0
747,48.0,76.0,6.0,74.0,83.0,81.0,104.0,466.0,0.0
748,80.0,100.0,6.0,45.0,35.0,37.0,28.0,325.0,0.0
749,110.0,150.0,6.0,59.0,45.0,49.0,35.0,448.0,0.0
750,150.0,50.0,6.0,60.0,150.0,50.0,60.0,520.0,0.0
751,50.0,150.0,6.0,60.0,50.0,150.0,60.0,520.0,0.0
752,52.0,60.0,6.0,78.0,63.0,65.0,23.0,341.0,0.0
753,72.0,72.0,6.0,101.0,99.0,89.0,29.0,462.0,0.0
754,48.0,66.0,6.0,62.0,59.0,57.0,49.0,341.0,0.0
755,80.0,86.0,6.0,82.0,85.0,75.0,72.0,480.0,0.0
756,54.0,53.0,6.0,53.0,37.0,46.0,45.0,288.0,0.0
757,92.0,88.0,6.0,86.0,68.0,75.0,73.0,482.0,0.0
758,52.0,67.0,6.0,42.0,39.0,56.0,50.0,306.0,0.0
759,105.0,115.0,6.0,72.0,54.0,86.0,68.0,500.0,0.0
760,60.0,60.0,6.0,50.0,60.0,60.0,30.0,320.0,0.0
761,75.0,90.0,6.0,65.0,97.0,123.0,44.0,494.0,0.0
762,53.0,62.0,6.0,50.0,58.0,63.0,44.0,330.0,0.0
763,73.0,88.0,6.0,71.0,120.0,89.0,59.0,500.0,0.0
764,38.0,33.0,6.0,44.0,61.0,43.0,70.0,289.0,0.0
765,55.0,52.0,6.0,62.0,109.0,94.0,109.0,481.0,0.0
766,89.0,77.0,6.0,58.0,45.0,45.0,48.0,362.0,0.0
767,121.0,119.0,6.0,82.0,69.0,59.0,71.0,521.0,0.0
768,59.0,50.0,6.0,77.0,67.0,63.0,46.0,362.0,0.0
769,77.0,72.0,6.0,123.0,99.0,92.0,58.0,521.0,0.0
770,65.0,65.0,6.0,95.0,110.0,130.0,60.0,525.0,0.0
771,92.0,75.0,6.0,78.0,74.0,63.0,118.0,500.0,0.0
772,58.0,57.0,6.0,67.0,81.0,67.0,101.0,431.0,0.0
773,50.0,150.0,6.0,50.0,50.0,150.0,50.0,500.0,0.0
774,50.0,35.0,6.0,45.0,55.0,75.0,40.0,300.0,0.0
775,75.0,53.0,6.0,68.0,83.0,113.0,60.0,452.0,0.0
776,100.0,70.0,6.0,90.0,110.0,150.0,80.0,600.0,0.0
777,80.0,91.0,6.0,57.0,80.0,87.0,75.0,470.0,0.0
778,70.0,48.0,6.0,43.0,50.0,60.0,38.0,309.0,0.0
779,110.0,76.0,6.0,85.0,65.0,82.0,56.0,474.0,0.0
780,66.0,70.0,6.0,49.0,44.0,55.0,51.0,335.0,0.0
781,66.0,70.0,6.0,44.0,44.0,55.0,56.0,335.0,0.0
